CASRN,Set,Mol Formula,Chem Name,logKow_exp,logKow_pred,Residual,Reference
63-91-2,T,C9H11N1O2,Phenylalanine,-1.38,-1.28,0.1,"Avdeef,A (1997)"
63-98-9,T,C9H10N2O2,Phenacemide,0.87,0.7,-0.17,"Hansch,C et al. (1995)"
63-99-0, ,C8H10N2O1,m-Tolylurea,1.29,1.25,-0.04,"Hansch,C et al. (1995)"
64-00-6,T,C11H15N1O2,N-Methyl O-(3-iPrPhenyl)carbamate,2.63,2.63,0.0,"Hansch,C & Leo,A (1985)"
64-04-0,T,C8H11N1,2-Phenylethylamine,1.41,1.34,-0.07,"Hansch,C et al. (1995)"
64-10-8,T,C7H8N2O1,Phenylurea,0.83,0.71,-0.12,"Hansch,C et al. (1995)"
64-13-1,T,C10H15N1O1,p-Methoxyamphetamine,1.77,1.84,0.07,"Hansch,C et al. (1995)"
64-17-5,T,C2H6O1,Ethanol,-0.31,-0.14,0.17,"Hansch,C et al. (1995)"
64-18-6,T,C1H2O2,Formic acid,-0.54,-0.46,0.08,"Hansch,C et al. (1995)"
64-19-7,T,C2H4O2,Acetic acid,-0.17,0.09,0.26,"Hansch,C et al. (1995)"
64-39-1,N,C17H25N1O2,Promedol,3.13,3.86,0.73,"Hansch,C et al. (1995)"
64-67-5,T,C4H10O4S1,Diethyl sulfate,1.14,1.14,0.0,"Hansch,C et al. (1995)"
64-77-7,T,C12H18N2O3S1,Tolbutamide,2.34,2.41,0.07,"Hansch,C et al. (1995)"
64-85-7,T,C21H30O3,Deoxycorticosterone,2.88,3.12,0.24,"Hansch,C et al. (1995)"
64-86-8, ,C22H25N1O6,Colchicine,1.3,1.86,0.56,"Hansch,C et al. (1995)"
65-23-6,N,C8H11N1O3,"3,4-Pyridinedimethanol,5-OH-6-methyl-",-0.77,-0.56,0.21,Sangster (1993)
65-45-2,T,C7H7N1O2,o-Hydroxybenzamide,1.28,1.03,-0.25,"Hansch,C et al. (1995)"
65-46-3, ,C9H13N3O5,Cytidine,-2.51,-2.46,0.05,"Hansch,C et al. (1995)"
65-49-6,T,C7H7N1O3,p-Aminosalicylic acid,0.89,0.98,0.09,Sangster (1994)
65-71-4,T,C5H6N2O2,5-Methyluracil,-0.62,-0.32,0.3,"Hansch,C et al. (1995)"
65-85-0,T,C7H6O2,Benzoic acid,1.87,1.87,0.0,"Hansch,C et al. (1995)"
65-86-1,N,C5H4N2O4,Orotic acid,-0.83,-0.11,0.72,Sangster (1994)
66-22-8,T,C4H4N2O2,Uracil,-1.07,-0.87,0.2,"Hansch,C et al. (1995)"
66-23-9,T,C7H16Br1N1O2,Acetylcholine bromide,-3.61,-3.45,0.16,Sangster (1994)
66-25-1,T,C6H12O1,Hexanal,1.78,1.8,0.02,"Hansch,C et al. (1995)"
66-28-4, ,C23H32O6,Strophanthidin,0.64,0.15,-0.49,"Hansch,C et al. (1995)"
66-71-7, ,C12H8N2,o-Phenanthroline,1.78,2.29,0.51,"Hansch,C et al. (1995)"
66-76-2,T,C19H12O6,Dicoumarol,2.07,1.92,-0.15,"Hansch,C et al. (1995)"
66-79-5, ,C19H19N3O5S1,Oxacillin,2.38,2.57,0.19,"Hansch,C et al. (1995)"
66-81-9, ,C15H23N1O4,Cycloheximide,0.55,0.08,-0.47,"Hansch,C et al. (1995)"
66-97-7,N,C11H6O3,Psoralen,1.67,2.06,0.39,(in press)
67-20-9,T,C8H6N4O5,Nitrofurantoin,-0.47,-0.17,0.3,"Hansch,C et al. (1995)"
67-45-8,N,C8H7N3O5,"2Oxazolidinon,3(5NO2-2furyl)Me-ene amino",-0.04,1.02,1.06,"Debnath,AK et al. (1991)"
67-51-6,N,C5H8N2,"1H-Pyrazole, 3,5-dimethyl-",1.01,1.15,0.14,"Hansch,C et al. (1995)"
67-52-7,T,C4H4N2O3,Barbituric acid,-1.47,-1.25,0.22,"Hansch,C et al. (1995)"
67-56-1,T,C1H4O1,Methanol,-0.77,-0.63,0.14,"Hansch,C et al. (1995)"
67-63-0,T,C3H8O1,Isopropanol,0.05,0.28,0.23,"Hansch,C et al. (1995)"
67-64-1,T,C3H6O1,Acetone,-0.24,-0.24,0.0,"Hansch,C et al. (1995)"
67-66-3,T,C1H1CL3,Chloroform,1.97,1.52,-0.45,"Hansch,C et al. (1995)"
67-68-5,T,C2H6O1S1,Dimethyl sulfoxide,-1.35,-1.22,0.13,"Hansch,C et al. (1995)"
67-71-0,T,C2H6O2S1,Dimethyl sulfone,-1.41,-1.11,0.3,"Hansch,C et al. (1995)"
67-72-1,T,C2CL6,Hexachloroethane,4.14,4.03,-0.11,"Hansch,C et al. (1995)"
67-73-2,N,C24H30F2O6,Fluocinolone acetonide,2.48,2.56,0.08,"Hansch,C et al. (1995)"
67-78-7, ,C25H31F1O8,Triamcinolone diacetate,1.92,1.51,-0.41,"Hansch,C et al. (1995)"
68-05-3,T,C8H20I1N1,TetraEt ammonium iodide,-2.82,-2.22,0.6,"Hansch,C et al. (1995)"
68-11-1,T,C2H4O2S1,Mercaptoacetic acid,0.09,0.03,-0.06,"Hansch,C et al. (1995)"
68-12-2,T,C3H7N1O1,"N,N'-Dimethylformamide",-1.01,-0.93,0.08,"Hansch,C et al. (1995)"
68-22-4,N,C20H26O2,Norethindrone,2.97,2.99,0.02,"Hansch,C et al. (1995)"
68-26-8,N,C20H30O1,Retinol,5.68,7.62,1.94,BioByte (1995)
68-35-9,T,C10H10N4O2S1,Sulfadiazine,-0.09,-0.34,-0.25,"Hansch,C et al. (1995)"
68-36-0, ,C8H4CL6,p-Di(trichloromethyl)benzene,4.62,5.8,1.18,"Hansch,C et al. (1995)"
68-76-8,N,C12H13N3O2,Triaziquone,-0.13,0.51,0.64,"Hansch,C et al. (1995)"
68-94-0,T,C5H4N4O1,Hypoxanthine,-1.11,-1.19,-0.08,"Hansch,C et al. (1995)"
68-96-2,T,C21H30O3,17-alpha-Hydroxyprogesterone,3.17,3.08,-0.09,"Hansch,C et al. (1995)"
69-23-8, ,C22H26F3N3O1S1,Fluphenazine,4.36,4.13,-0.23,"Hansch,C et al. (1995)"
69-33-0, ,C11H14N4O4,Tubercidin,-0.8,-0.56,0.24,"Hansch,C et al. (1995)"
69-53-4, ,C16H19N3O4S1,Ampicillin,1.35,1.45,0.1,Sangster (1994)
69-65-8,N,C6H14O6,Mannitol,-3.1,-3.01,0.09,"Hansch,C et al. (1995)"
69-72-7,T,C7H6O3,Salicylic acid,2.26,2.24,-0.02,"Hansch,C et al. (1995)"
69-89-6, ,C5H4N4O2,Xanthine,-0.73,-1.15,-0.42,"Hansch,C et al. (1995)"
69-91-0,N,C8H9N1O2,alpha-Phenylglycine,-1.7,-1.77,-0.07,"Hansch,C et al. (1995)"
69-93-2,T,C5H4N4O3,Uric acid,-2.17,-1.46,0.71,"Nahum,A & Horvath,C (1980)"
70-00-8,T,C10H11F3N2O5,Trifluridine,-0.46,-0.23,0.23,"Hansch,C et al. (1995)"
70-11-1,N,C8H7Br1O1,"Ethanone, 2-bromo-1-phenyl-",2.19,2.02,-0.17,Sangster (1993)
70-26-8,T,C5H12N2O2,Ornithine,-4.22,-3.48,0.74,Sangster (1994)
70-30-4,T,C13H6CL6O2,Hexachlorophene,7.54,6.92,-0.62,"Hansch,C et al. (1995)"
70-47-3,N,C4H8N2O3,L-Asparagine,-3.82,-4.99,-1.17,"Chmelik,J et al. (1991)"
70-55-3,T,C7H9N1O2S1,4-Methylbenzenesulfonamide,0.82,0.92,0.1,"Hansch,C et al. (1995)"
70-70-2, ,C9H10O2,p-Hydroxypropiophenone,2.03,1.68,-0.35,"Hansch,C et al. (1995)"
71-00-1, ,C6H9N3O2,Histidine,-3.32,-3.22,0.1,"Chmelik,J et al. (1991)"
71-23-8,T,C3H8O1,1-Propanol,0.25,0.35,0.1,"Hansch,C et al. (1995)"
71-30-7, ,C4H5N3O1,Cytosine,-1.73,-1.47,0.26,"Hansch,C et al. (1995)"
71-33-0,N,C3H3N3O2,5-Azauracil,-1.87,-1.27,0.6,"Hansch,C et al. (1995)"
71-36-3,T,C4H10O1,1-Butanol,0.88,0.84,-0.04,"Hansch,C et al. (1995)"
71-41-0,T,C5H12O1,1-Pentanol,1.51,1.33,-0.18,Sangster (1994)
71-43-2,T,C6H6,Benzene,2.13,1.99,-0.14,"Hansch,C et al. (1995)"
71-55-6,T,C2H3CL3,"1,1,1-Trichloroethane",2.49,2.68,0.19,"Hansch,C et al. (1995)"
71-63-6,N,C41H64O13,Digitoxin,1.85,2.04,0.19,Sangster (1993)
71-91-0,T,C8H20Br1N1,TetraEt ammonium bromide,-2.82,-2.22,0.6,"Hansch,C et al. (1995)"
72-14-0, ,C9H9N3O2S2,Sulfathiozole,0.05,0.72,0.67,"Hansch,C et al. (1995)"
72-18-4,T,C5H11N1O2,Valine,-2.26,-2.08,0.18,"Hansch,C et al. (1995)"
72-19-5,T,C4H9N1O3,Threonine(L),-2.94,-3.04,-0.1,"Hansch,C et al. (1995)"
72-20-8, ,C12H8CL6O1,Endrin,5.2,5.45,0.25,"DeBruijn,J et al. (1989)"
72-43-5, ,C16H15CL3O2,Methoxychlor,5.08,5.67,0.59,"Hansch,C et al. (1995)"
72-54-8,T,C14H10CL4,"p,p'-DDD",6.02,5.87,-0.15,Sangster (1994)
72-55-9,T,C14H8CL4,"p,p'-DDE",6.51,6.0,-0.51,Sangster (1993)
73-22-3,T,C11H12N2O2,Tryptophan,-1.06,-1.22,-0.16,"Hansch,C et al. (1995)"
73-24-5, ,C5H5N5,Adenine,-0.09,-0.73,-0.64,"Hansch,C et al. (1995)"
73-32-5,T,C6H13N1O2,Iso-Leucine,-1.7,-1.59,0.11,"Hansch,C et al. (1995)"
73-40-5,T,C5H5N5O1,Guanine,-0.91,-1.05,-0.14,"Hansch,C et al. (1995)"
73-48-3,N,C15H14F3N3O4S2,Bendroflumethiazide,1.89,1.82,-0.07,"Berthod,A et al. (1999)"
74-11-3,T,C7H5CL1O2,4-Chlorobenzoic acid,2.65,2.52,-0.13,"Hansch,C et al. (1995)"
74-79-3,T,C6H14N4O2,Arginine,-4.2,-4.0,0.2,"Hansch,C et al. (1995)"
74-82-8, ,C1H4,Methane,1.09,0.78,-0.31,"Hansch,C et al. (1995)"
74-83-9,T,C1H3Br1,Methyl bromide,1.19,1.18,-0.01,"Hansch,C et al. (1995)"
74-84-0,T,C2H6,Ethane,1.81,1.32,-0.49,"Hansch,C et al. (1995)"
74-85-1,T,C2H4,Ethylene,1.13,1.27,0.14,"Hansch,C et al. (1995)"
74-86-2,T,C2H2,Acetylene,0.37,0.5,0.13,"Hansch,C et al. (1995)"
74-87-3,T,C1H3CL1,Methyl chloride,0.91,1.09,0.18,"Hansch,C et al. (1995)"
74-88-4,T,C1H3I1,Methyl iodide,1.51,1.59,0.08,"Hansch,C et al. (1995)"
74-89-5,T,C1H5N1,Methylamine,-0.57,-0.64,-0.07,"Hansch,C et al. (1995)"
74-90-8, ,C1H1N1,Hydrocyanic acid,-0.25,-0.69,-0.44,"Hansch,C et al. (1995)"
74-95-3, ,C1H2Br2,Dibromomethane,1.7,1.52,-0.18,"Martiska,A & Bekarek,V (1990)"
74-96-4,T,C2H5Br1,Bromoethane,1.61,1.67,0.06,"Hansch,C et al. (1995)"
74-97-5,T,C1H2Br1CL1,Chlorobromomethane,1.41,1.43,0.02,"Hansch,C et al. (1995)"
74-98-6,T,C3H8,Propane,2.36,1.81,-0.55,"Hansch,C et al. (1995)"
74-99-7,T,C3H4,Propyne,0.94,1.04,0.1,"Hansch,C et al. (1995)"
75-00-3,T,C2H5CL1,Chloroethane,1.43,1.58,0.15,"Hansch,C et al. (1995)"
75-03-6,T,C2H5I1,Iodoethane,2.0,2.08,0.08,"Hansch,C et al. (1995)"
75-04-7,T,C2H7N1,Ethylamine,-0.13,-0.15,-0.02,"Hansch,C et al. (1995)"
75-05-8,T,C2H3N1,Acetonitrile,-0.34,-0.15,0.19,"Hansch,C et al. (1995)"
75-07-0,N,C2H4O1,Acetaldehyde,-0.34,-0.17,0.17,TSCATS
75-09-2,T,C1H2CL2,Dichloromethane,1.25,1.34,0.09,"Hansch,C et al. (1995)"
75-10-5,T,C1H2F2,Difluoromethane,0.2,0.71,0.51,"Hansch,C et al. (1995)"
75-11-6, ,C1H2I2,Methylene iodide,2.3,2.35,0.05,"Hansch,C et al. (1995)"
75-12-7,T,C1H3N1O1,Formamide,-1.51,-1.61,-0.1,"Hansch,C et al. (1995)"
75-15-0,S,C1S2,Carbon disulfide,1.94,1.94,0.0,"Hansch,C et al. (1995)"
75-19-4,T,C3H6,Cyclopropane,1.72,1.7,-0.02,"Hansch,C et al. (1995)"
75-21-8,T,C2H4O1,Ethylene oxide,-0.3,-0.05,0.25,"Hansch,C et al. (1995)"
75-25-2,N,C1H1Br3,Tribromomethane,2.4,1.79,-0.61,Chem Inspect Test Inst (1992)
75-26-3,N,C3H7Br1,"Propane, 2-bromo-",2.14,2.08,-0.06,"Hansch,C et al. (1995)"
75-27-4,N,C1H1Br1CL1,"Methane, bromodichloro-",2.0,1.61,-0.39,Sangster (1994)
75-28-5,T,C4H10,2-Methylpropane,2.76,2.23,-0.53,"Hansch,C et al. (1995)"
75-29-6,T,C3H7CL1,2-Chloropropane,1.9,2.0,0.1,"Hansch,C et al. (1995)"
75-30-9,N,C3H7I1,"Propane, 2-iodo-",2.89,2.5,-0.39,"Hansch,C et al. (1995)"
75-31-0,T,C3H9N1,Isopropylamine,0.26,0.27,0.01,"Hansch,C et al. (1995)"
75-34-3,T,C2H4CL2,"1,1-Dichloroethane",1.79,1.76,-0.03,"Hansch,C et al. (1995)"
75-35-4,T,C2H2CL2,"1,1-Dichloroethene",2.13,2.12,-0.01,"Hansch,C et al. (1995)"
75-37-6,T,C2H4F2,"1,1-Difluoroethane",0.75,1.13,0.38,"Hansch,C et al. (1995)"
75-38-7,T,C2H2F2,"1,1-Difluoroethene",1.24,1.24,0.0,"Hansch,C et al. (1995)"
75-43-4,T,C1H1CL2F1,Dichlorofluoromethane,1.55,1.21,-0.34,"Hansch,C et al. (1995)"
75-45-6,T,C1H1CL1F2,Chlorodifluoromethane,1.08,0.89,-0.19,"Hansch,C et al. (1995)"
75-46-7,T,C1H1F3,Trifluoromethane,0.64,0.58,-0.06,"Hansch,C et al. (1995)"
75-50-3,T,C3H9N1,Trimethylamine,0.16,0.04,-0.12,"Hansch,C et al. (1995)"
75-52-5,T,C1H3N1O2,Nitromethane,-0.35,-0.04,0.31,"Hansch,C et al. (1995)"
75-56-9,T,C3H6O1,Propylene oxide,0.03,0.37,0.34,"Hansch,C et al. (1995)"
75-63-8,T,C1Br1F3,Bromotrifluoromethane,1.86,1.59,-0.27,"Hansch,C et al. (1995)"
75-64-9,T,C4H11N1,t-Butylamine,0.4,0.72,0.32,"Hansch,C et al. (1995)"
75-65-0,T,C4H10O1,t-Butanol,0.35,0.73,0.38,"Hansch,C et al. (1995)"
75-69-4,T,C1CL3F1,Trichlorofluoromethane,2.53,2.13,-0.4,"Hansch,C et al. (1995)"
75-71-8,T,C1CL2F2,Dichlorodifluoromethane,2.16,1.82,-0.34,"Hansch,C et al. (1995)"
75-72-9,T,C1CL1F3,Chlorotrifluoromethane,1.65,1.5,-0.15,"Hansch,C et al. (1995)"
75-73-0,T,C1F4,Tetrafluoromethane,1.18,1.19,0.01,"Hansch,C et al. (1995)"
75-74-1,T,C4H12Pb1,Tetramethyl lead,2.97,2.92,-0.05,"Hansch,C et al. (1995)"
75-76-3,N,C4H12Si1,"Silane, tetramethyl-",3.24,2.72,-0.52,BioByte (1995)
75-80-9,N,C2H3Br3O1,"Ethanol, 2,2,2-tribromo-",2.1,1.48,-0.62,"Hansch,C et al. (1995)"
75-83-2,T,C6H14,"2,2-Dimethylbutane",3.82,3.18,-0.64,"Hansch,C et al. (1995)"
75-84-3,T,C5H12O1,"2,2-Dimethyl-1-propanol",1.31,1.22,-0.09,"Hansch,C et al. (1995)"
75-85-4,T,C5H12O1,2-Methyl-2-butanol,0.89,1.22,0.33,"Hansch,C et al. (1995)"
75-87-6,T,C2H1CL3O1,Trichloroacetaldehyde,0.99,1.19,0.2,"Hansch,C et al. (1995)"
75-89-8,T,C2H3F3O1,"2,2,2-Trifluoroethanol",0.41,0.27,-0.14,"Hansch,C et al. (1995)"
75-97-8,N,C6H12O1,"2-Butanone, 3,3-dimethyl-",1.2,1.13,-0.07,"Hansch,C et al. (1995)"
75-98-9,N,C5H10O2,"Propanoic acid, 2,2-dimethyl-",1.48,1.45,-0.03,Chem Inspect Test Inst (1992)
76-01-7,T,C2H1CL5,Pentachloroethane,3.22,3.11,-0.11,"Hansch,C et al. (1995)"
76-03-9,T,C2H1CL3O2,Trichloroacetic acid,1.33,1.44,0.11,"Hansch,C et al. (1995)"
76-06-2, ,C1CL3N1O2,Trichloronitromethane,2.09,1.32,-0.77,"Hansch,C et al. (1995)"
76-13-1,T,C2CL3F3,"1,1,2-Trichlorotrifluoroethane",3.16,3.09,-0.07,"Hansch,C et al. (1995)"
76-14-2,T,C2CL2F4,"1,2-Dichlorotetrafluoroethane",2.82,2.78,-0.04,"Hansch,C et al. (1995)"
76-16-4,T,C2F6,Hexafluoroethane,2.0,2.15,0.15,"Hansch,C et al. (1995)"
76-22-2,N,C10H16O,Camphor,2.38,3.04,0.66,Daylight (1999)
76-25-5,T,C24H31F1O6,Triamcinolone acetonide,2.53,2.69,0.16,"Hansch,C et al. (1995)"
76-38-0, ,C3H4CL2F2O1,Methoxyflurane,2.21,2.02,-0.19,"Hansch,C et al. (1995)"
76-41-5, ,C17H19N1O4,Oxymorphone,0.83,0.1,-0.73,"Hansch,C et al. (1995)"
76-43-7,N,C20H29F1O3,"Androst-4-en-3-one,9F-11,17-diOH-17-Me-",2.38,2.49,0.11,Pomona (1987)
76-44-8,N,C10H5CL7,Heptachlor,6.1,5.86,-0.24,"Simpson,CD et al. (1995)"
76-57-3, ,C18H21N1O3,Codeine,1.19,1.28,0.09,"Avdeef,A et al. (1996)"
76-68-6, ,C12H14N2O3,"Barbituric acid,5-allyl,5-(2CyPenten1yl)",1.51,2.03,0.52,"Hansch,C et al. (1995)"
76-73-3,T,C12H18N2O3,Secobarbital,1.97,2.36,0.39,"Hansch,C et al. (1995)"
76-74-4,T,C11H18N2O3,Pentobarbital,2.1,2.0,-0.1,"Hansch,C et al. (1995)"
76-75-5,T,C11H18N2O2S1,Thiopental,2.85,2.87,0.02,"Hansch,C et al. (1995)"
76-76-6,T,C9H14N2O3,Probarbital,0.97,1.02,0.05,"Hansch,C et al. (1995)"
76-83-5,N,C19H15CL1,Chloro-triphenylmethane,5.25,5.58,0.33,Chem Inspect Test Inst (1992)
76-84-6,N,C19H16O1,"Benzenemethanol,a,a-diphenyl-",3.68,4.38,0.7,Pomona (1987)
76-87-9,T,C18H16O1Sn1,Triphenyl tin hydroxide,3.53,3.47,-0.06,"Arnold,CG et al. (1997)"
76-93-7,T,C14H12O3,Benzilic acid,2.3,2.24,-0.06,"Hansch,C et al. (1995)"
76-94-8,N,C11H10N2O3,"Barbituric acid,5-Me-5-Phenyl-",0.91,0.84,-0.07,"Prankerd,RJ & McKeown,RH (1992)"
76-99-3,T,C21H27N1O1,Methadone,3.93,4.17,0.24,"Hansch,C et al. (1995)"
77-02-1,T,C10H14N2O3,Aprobarbital,1.15,1.38,0.23,"Hansch,C et al. (1995)"
77-06-5, ,C19H22O6,Gibberellic acid,0.24,0.45,0.21,"Hansch,C et al. (1995)"
77-07-6, ,C17H23N1O1,Levorphanol,3.11,3.41,0.3,"Hansch,C et al. (1995)"
77-10-1,N,C17H25N1,Phencyclidine,4.69,4.89,0.2,Sangster (1994); avg
77-20-3,N,C16H23N1O2,Alphaprodine,2.83,3.45,0.62,"Hansch,C et al. (1995)"
77-21-4,T,C13H15N1O2,2-Ethyl-2-phenylgluterimide,1.9,1.74,-0.16,"Hansch,C et al. (1995)"
77-27-0,T,C12H18N2O2S1,Thiamylal,3.23,3.23,0.0,"Hansch,C et al. (1995)"
77-28-1,T,C10H16N2O3,5-Butyl-5-ethylbarbituric acid,1.73,1.59,-0.14,"Hansch,C et al. (1995)"
77-30-5,T,C12H20N2O3,5-Ethyl-5-hexylbarbituric acid,2.46,2.57,0.11,"Hansch,C et al. (1995)"
77-32-7,N,C8H12N2O2S1,Thiobarbital,1.5,1.47,-0.03,"Wong,O & McKeown,RH (1988)"
77-36-1,N,C14H11CL1N2O4S1,Chlorthalidone,0.85,1.01,0.16,"Berthod,A et al. (1999)"
77-47-4,T,C5CL6,Hexachlorocyclopentadiene,5.04,4.63,-0.41,"Hansch,C et al. (1995)"
77-65-6, ,C7H13Br1N2O2,Carbromal,1.54,1.52,-0.02,"Hansch,C et al. (1995)"
77-67-8,N,C7H11N1O2,Ethosuximide,0.38,0.51,0.13,"Atkinson,HC & Berg,EJ (1988)"
77-71-4,N,C5H8N2O2,"2,4-Imidazolidinedione, 5,5-dimethyl-",-0.48,-0.27,0.21,"Hansch,C et al. (1995)"
77-81-6,S,C5H11N2O2P1,Tabun,0.38,0.29,-0.09,"Munro,NB et al. (1999)"
77-92-9,T,C6H8O7,Citric acid,-1.64,-1.67,-0.03,"Avdeef,A (1997)"
77-99-6, ,C6H14O3,"1,1,1-Tris(hydroxymethyl)propane",-1.48,0.19,1.67,TSCATS
78-00-2,N,C8H20Pb1,Tetraethyl lead,4.15,4.88,0.73,"Wang,Y et al. (1996)"
78-27-3,T,C8H12O1,1-Ethynyl cyclohexanol,1.73,1.81,0.08,"Hansch,C et al. (1995)"
78-38-6,T,C6H15O3P1,O=P(OEt)(OEt)Et,0.66,0.89,0.23,"Krikorian,SE et al. (1987)"
78-40-0,T,C6H15O4P1,Triethyl phosphate,0.8,0.87,0.07,"Hansch,C et al. (1995)"
78-48-8,N,C12H27O1P1S3,DEF Defoliant,5.7,5.75,0.05,Environ Res Lab (1981)
78-51-3,N,C18H39O7P1,"Ethanol, 2-butoxy-, phosphate (3:1)",3.75,3.0,-0.75,Chem Inspect Test Inst (1992)
78-59-1, ,C9H14O1,Isophorone,1.7,2.62,0.92,"Veith,GD et al. (1980)"
78-62-6,N,C6H16O2Si1,Dimethyl diethoxysilane,0.61,1.57,0.96,"Hansch,C et al. (1995)"
78-67-1,N,C8H12N4,"2,2'-Azobis(2-methylpropionitrile)",1.1,2.87,1.77,Revised OECD HPV Form 1 (1997)
78-70-6,N,C10H18O1,Linalool,2.97,3.38,0.41,"Li,J & Perdue,EM (1995)"
78-79-5,N,C5H8,Isoprene,2.42,2.58,0.16,Chem Inspect Test Inst (1992)
78-81-9,T,C4H11N1,Isobutylamine,0.73,0.76,0.03,"Hansch,C et al. (1995)"
78-82-0,N,C4H7N1,"Propanenitrile, 2-methyl-",0.46,0.76,0.3,"Tanii,H & Hashimoto,K (1984)"
78-83-1,T,C4H10O1,Isobutyl alcohol,0.76,0.77,0.01,"Hansch,C et al. (1995)"
78-86-4,N,C4H9CL1,"Butane, 2-chloro-",2.33,2.49,0.16,"Hansch,C et al. (1995)"
78-87-5,N,C3H6CL2,"Propane, 1,2-dichloro-",1.98,2.25,0.27,Sangster (1994)
78-92-2,T,C4H10O1,2-Butanol,0.61,0.77,0.16,"Hansch,C et al. (1995)"
78-93-3,T,C4H8O1,2-Butanone,0.29,0.26,-0.03,"Hansch,C et al. (1995)"
78-96-6,T,C3H9N1O1,1-Amino-2-propanol,-0.96,-1.19,-0.23,"Hansch,C et al. (1995)"
78-97-7,N,C3H5N1O1,"Propanenitrile, 2-hydroxy-",-0.94,-1.19,-0.25,"Tanii,H & Hashimoto,K (1985)"
79-00-5,N,C2H3CL3,"Ethane, 1,1,2-trichloro-",1.89,2.01,0.12,"Hansch,C et al. (1995)"
79-01-6,T,C2H1CL3,Trichloroethene,2.42,2.47,0.05,"Hansch,C et al. (1995)"
79-05-0,N,C3H7N1O1,Propanamide,-0.66,-0.67,-0.01,"Hansch,C et al. (1995)"
79-06-1,T,C3H5N1O1,Acrylamide,-0.67,-0.81,-0.14,"Hansch,C et al. (1995)"
79-07-2,T,C2H4CL1N1O1,Chloroacetamide,-0.53,-0.58,-0.05,"Hansch,C et al. (1995)"
79-08-3,T,C2H3Br1O2,Bromoacetic acid,0.41,0.43,0.02,"Hansch,C et al. (1995)"
79-09-4,T,C3H6O2,Propionic acid,0.33,0.58,0.25,"Hansch,C et al. (1995)"
79-10-7,N,C3H4O2,Acrylic acid,0.35,0.44,0.09,"Hansch,C et al. (1995)"
79-11-8,T,C2H3CL1O2,Chloroacetic acid,0.22,0.34,0.12,"Hansch,C et al. (1995)"
79-14-1,T,C2H4O3,Hydroxyacetic acid,-1.11,-1.07,0.04,"Hansch,C et al. (1995)"
79-16-3,T,C3H7N1O1,N-Methylacetamide,-1.05,-0.7,0.35,"Hansch,C et al. (1995)"
79-20-9,T,C3H6O2,Methyl acetate,0.18,0.37,0.19,"Hansch,C et al. (1995)"
79-24-3,T,C2H5N1O2,Nitroethane,0.18,0.45,0.27,"Hansch,C et al. (1995)"
79-29-8,T,C6H14,"2,3-Dimethylbutane",3.42,3.14,-0.28,"Hansch,C et al. (1995)"
79-31-2,N,C4H8O2,"Propanoic acid, 2-methyl-",0.94,1.0,0.06,Sangster (1993)
79-34-5,T,C2H2CL4,"1,1,2,2-Tetrachloroethane",2.39,2.19,-0.2,"Hansch,C et al. (1995)"
79-41-4,T,C4H6O2,Methacrylic acid,0.93,0.99,0.06,"Hansch,C et al. (1995)"
79-43-6,T,C2H2CL2O2,Dichloroacetic acid,0.92,0.52,-0.4,"Hansch,C et al. (1995)"
79-46-9,N,C3H7N1O2,2-Nitropropane,0.93,0.87,-0.06,Chem Inspect Test Inst (1992)
79-57-2,N,C22H24N2O9,Oxytetracycline,-0.9,-2.87,-1.97,Sangster (1994)
79-60-7, ,C21H27F1O5,Cortisone-9a-fluoro,1.37,1.71,0.34,"Hansch,C et al. (1995)"
80-05-7,T,C15H16O2,Diphenylolpropane,3.32,3.64,0.32,"Hansch,C et al. (1995)"
80-08-0,T,C12H12N2O2S1,Di(p-aminophenyl)sulfone,0.97,0.77,-0.2,"Hansch,C et al. (1995)"
80-11-5,N,C8H10N2O3S1,"Benzenesulfonamide,N,4-diMe-N-nitroso-",0.58,0.92,0.34,"Hansch,C et al. (1995)"
80-17-1,T,C6H8N2O2S1,Benzenesulfonic acid hydrazide,-0.14,0.01,0.15,"Hansch,C et al. (1995)"
80-26-2,N,C12H20O2,alpha-Terpinyl acetate,3.96,4.34,0.38,"Griffin,S et al. (1999)"
80-35-3, ,C11H12N4O3S1,Sulfamethoxypyridazine,0.32,0.2,-0.12,"Hansch,C et al. (1995)"
80-40-0,T,C9H12O3S1,Ethyl-p-methylbenzenesulfonate,1.81,1.96,0.15,"Hansch,C et al. (1995)"
80-43-3,N,C18H22O2,Dicumylperoxide,5.5,5.88,0.38,Chem Inspect Test Inst (1992)
80-56-8,N,C10H16,alpha-Pinene,4.83,4.27,-0.56,"Li,J & Perdue,EM (1995)"
80-58-0,T,C4H7Br1O2,a-Bromobutyric acid,1.42,1.34,-0.08,"Hansch,C et al. (1995)"
80-60-4, ,C4H9N1O2,alpha-Aminobutyric acid,-2.54,-2.5,0.04,"Tsai,RS et al. (1991)"
80-62-6,T,C5H8O2,Methyl methacrylate,1.38,1.28,-0.1,"Hansch,C et al. (1995)"
80-70-6,N,C5H13N3,"Guanidine, N,N,N',N'-tetramethyl-",0.41,-0.28,-0.69,"Hansch,C et al. (1995)"
81-06-1,T,C10H9N1O3S1,1-Amino-2-naphthalenesulfonic acid,-0.97,-0.91,0.06,"Hansch,C et al. (1995)"
